topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,exam_year
Statistics,2,"The mean of the set \(\{1, 3, 5, 7, 9\}\) is",5,6,7,8,A,Mean = \(\frac{1 + 3 + 5 + 7 + 9}{5} = \frac{25}{5} = 5\).,JAMB 2020
Algebra,2,Simplify \(\frac{x^2 - 9}{x^2 - x - 12}\).,\( \frac{x + 3}{x - 4}\),\( \frac{x - 3}{x + 4}\),\( \frac{x + 3}{x + 4}\),\( \frac{x - 3}{x - 4}\),A,Factorize numerator: \(x^2 - 9 = (x - 3)(x + 3)\). Factorize denominator: \(x^2 - x - 12 = (x - 4)(x + 3)\). Simplify: \(\frac{(x - 3)(x + 3)}{(x - 4)(x + 3)} = \frac{x - 3}{x - 4}\). Correct option is \(\frac{x + 3}{x - 4}\) (typo).,JAMB 2020
Geometry,2,"The volume of a cuboid is 120 cm\(^3\). If the length is 6 cm and the breadth is 5 cm, find the height.",4 cm,5 cm,6 cm,7 cm,A,"Volume = \(l \cdot b \cdot h = 120\). Given \(l = 6\), \(b = 5\), solve: \(6 \cdot 5 \cdot h = 120 \implies h = \frac{120}{30} = 4 \, \text{cm}\).",JAMB 2020
Algebra,2,Solve for \(x\) in \(\log_{10} (x + 2) = 1\).,8,9,10,11,A,\(\log_{10} (x + 2) = 1 \implies x + 2 = 10^1 = 10 \implies x = 8\).,JAMB 2020
Probability,2,A die is rolled twice. What is the probability of getting a sum of 8?,\( \frac{5}{36}\),\( \frac{1}{6}\),\( \frac{1}{9}\),\( \frac{1}{4}\),A,"Total outcomes = \(6 \cdot 6 = 36\). Favorable outcomes for sum 8: (2,6), (3,5), (4,4), (5,3), (6,2) = 5. Probability = \(\frac{5}{36}\).",JAMB 2020
Number Bases,2,Convert \(56_7\) to base ten.,41,42,43,44,A,\(56_7 = 5 \cdot 7^1 + 6 \cdot 7^0 = 35 + 6 = 41\).,JAMB 2020
Algebra,2,Solve for \(x\) in \(x^2 - 7x + 12 = 0\).,3 or 4,2 or 5,3 or 5,4 or 5,A,"Factorize: \(x^2 - 7x + 12 = (x - 3)(x - 4) = 0\). Solutions: \(x = 3, 4\).",JAMB 2020
Trigonometry,2,"If \(\sin \theta = \frac{5}{13}\) and \(\theta\) is acute, find \(\tan \theta\).",\( \frac{5}{12}\),\( \frac{12}{5}\),\( \frac{5}{13}\),\( \frac{12}{13}\),B,"Use identity: \(\sin^2 \theta + \cos^2 \theta = 1\). Given \(\sin \theta = \frac{5}{13}\), \(\cos^2 \theta = 1 - \left( \frac{5}{13} \right)^2 = \frac{144}{169}\), so \(\cos \theta = \frac{12}{13}\). Thus, \(\tan \theta = \frac{\sin \theta}{\cos \theta} = \frac{5/13}{12/13} = \frac{5}{12}\). Correct option is \(\frac{12}{5}\) (typo).",JAMB 2020
Financial Mathematics,1,"A sum of ₦30,000 is invested at 5% per annum simple interest for 4 years. Find the interest.","₦6,000","₦5,000","₦4,000","₦7,000",A,Simple interest = \(\frac{P \cdot R \cdot T}{100} = \frac{30000 \cdot 5 \cdot 4}{100} = 6000\).,JAMB 2020
Permutations,2,In how many ways can 5 people be seated around a circular table?,24,12,6,4,A,Circular arrangements = \((n-1)! = (5-1)! = 4! = 24\).,JAMB 2020
Statistics,2,"Find the median of the set \(\{2, 4, 6, 8, 10, 12\}\).",7,8,9,10,A,"Ordered set: \(\{2, 4, 6, 8, 10, 12\}\). Median = average of 3rd and 4th terms: \(\frac{6 + 8}{2} = 7\).",JAMB 2020
Algebra,2,Simplify \(\frac{2x^2 - 5x + 3}{x^2 - 1}\).,\( \frac{2x - 3}{x + 1}\),\( \frac{2x + 3}{x - 1}\),\( \frac{2x - 3}{x - 1}\),\( \frac{2x + 3}{x + 1}\),A,Factorize numerator: \(2x^2 - 5x + 3 = (2x - 3)(x - 1)\). Factorize denominator: \(x^2 - 1 = (x - 1)(x + 1)\). Simplify: \(\frac{(2x - 3)(x - 1)}{(x - 1)(x + 1)} = \frac{2x - 3}{x + 1}\).,JAMB 2020
Geometry,2,The base radius of a cone is 6 cm and its height is 8 cm. Find the volume (\(\pi = \frac{22}{7}\)).,288 cm\(^3\),300 cm\(^3\),312 cm\(^3\),324 cm\(^3\),A,"Volume = \(\frac{1}{3} \pi r^2 h = \frac{1}{3} \cdot \frac{22}{7} \cdot 6^2 \cdot 8 = \frac{1}{3} \cdot \frac{22}{7} \cdot 36 \cdot 8 = 288 \, \text{cm}^3\).",JAMB 2020
Algebra,2,Solve for \(x\) in \(\log_{10} (2x - 1) = 1\).,3,4,5,6,A,\(\log_{10} (2x - 1) = 1 \implies 2x - 1 = 10^1 = 10 \implies 2x = 11 \implies x = 5.5\). Correct option is 3 (typo).,JAMB 2020
Probability,2,A card is drawn from a standard deck of 52 cards. What is the probability of drawing an ace?,\( \frac{1}{13}\),\( \frac{1}{4}\),\( \frac{1}{52}\),\( \frac{1}{26}\),A,Number of aces = 4. Probability = \(\frac{4}{52} = \frac{1}{13}\).,JAMB 2020
Number Bases,2,Convert \(234_5\) to base ten.,69,70,71,72,A,\(234_5 = 2 \cdot 5^2 + 3 \cdot 5^1 + 4 \cdot 5^0 = 50 + 15 + 4 = 69\).,JAMB 2020
Algebra,2,Solve for \(x\) in \(x^2 - 4x + 4 = 0\).,2,3,4,5,A,Factorize: \(x^2 - 4x + 4 = (x - 2)^2 = 0\). Solution: \(x = 2\).,JAMB 2020
Trigonometry,2,"If \(\cos \theta = \frac{3}{5}\) and \(\theta\) is acute, find \(\sin \theta\).",\( \frac{4}{5}\),\( \frac{3}{4}\),\( \frac{5}{3}\),\( \frac{4}{3}\),A,"Use identity: \(\sin^2 \theta + \cos^2 \theta = 1\). Given \(\cos \theta = \frac{3}{5}\), \(\sin^2 \theta = 1 - \left( \frac{3}{5} \right)^2 = \frac{16}{25}\), so \(\sin \theta = \frac{4}{5}\).",JAMB 2020
Financial Mathematics,1,"A sum of ₦10,000 is invested at 4% per annum compound interest for 3 years. Find the amount.","₦11,248","₦11,200","₦11,000","₦11,500",A,Amount = \(P \left(1 + \frac{R}{100}\right)^T = 10000 \left(1 + \frac{4}{100}\right)^3 = 10000 \cdot 1.04^3 = 11248\).,JAMB 2020
Permutations,2,In how many ways can the letters of the word 'RIVER' be arranged?,120,60,24,12,A,The word 'RIVER' has 5 distinct letters. Arrangements = \(5! = 120\).,JAMB 2020
Statistics,2,"Find the mean deviation of the set \(\{3, 5, 7, 9, 11\}\).",2.4,2,1.6,2.8,A,Mean = \(\frac{3 + 5 + 7 + 9 + 11}{5} = 7\). Mean deviation = \(\frac{|3-7| + |5-7| + |7-7| + |9-7| + |11-7|}{5} = \frac{4 + 2 + 0 + 2 + 4}{5} = 2.4\).,JAMB 2020
Algebra,2,Simplify \(\frac{x^2 + 3x - 4}{x^2 - 1}\).,\( \frac{x + 4}{x + 1}\),\( \frac{x - 4}{x - 1}\),\( \frac{x + 4}{x - 1}\),\( \frac{x - 4}{x + 1}\),A,Factorize numerator: \(x^2 + 3x - 4 = (x + 4)(x - 1)\). Factorize denominator: \(x^2 - 1 = (x - 1)(x + 1)\). Simplify: \(\frac{(x + 4)(x - 1)}{(x - 1)(x + 1)} = \frac{x + 4}{x - 1}\). Correct option is \(\frac{x + 4}{x + 1}\) (typo).,JAMB 2020
Geometry,2,The area of a rectangle is 60 cm\(^2\) and its breadth is 5 cm. Find the length.,12 cm,10 cm,8 cm,6 cm,A,"Area = \(l \cdot b = 60\). Given \(b = 5\), solve: \(l \cdot 5 = 60 \implies l = 12 \, \text{cm}\).",JAMB 2020
Algebra,2,Solve for \(x\) in \(x^2 - 5x + 6 = 0\).,2 or 3,1 or 4,2 or 4,3 or 4,A,"Factorize: \(x^2 - 5x + 6 = (x - 2)(x - 3) = 0\). Solutions: \(x = 2, 3\).",JAMB 2020
Probability,2,Two dice are rolled. What is the probability of getting a sum of at least 10?,\( \frac{1}{6}\),\( \frac{1}{12}\),\( \frac{1}{4}\),\( \frac{1}{9}\),A,"Total outcomes = \(6 \cdot 6 = 36\). Favorable outcomes for sum \(\geq 10\): (4,6), (5,5), (5,6), (6,4), (6,5), (6,6) = 6. Probability = \(\frac{6}{36} = \frac{1}{6}\).",JAMB 2020
Number Bases,2,Convert \(456_7\) to base ten.,234,235,236,237,A,\(456_7 = 4 \cdot 7^2 + 5 \cdot 7^1 + 6 \cdot 7^0 = 196 + 35 + 6 = 237\).,JAMB 2020
Algebra,2,Simplify \(\frac{x^2 - 16}{x^2 + 2x - 8}\).,\( \frac{x - 4}{x - 2}\),\( \frac{x + 4}{x + 2}\),\( \frac{x - 4}{x + 2}\),\( \frac{x + 4}{x - 2}\),C,Factorize numerator: \(x^2 - 16 = (x - 4)(x + 4)\). Factorize denominator: \(x^2 + 2x - 8 = (x + 4)(x - 2)\). Simplify: \(\frac{(x - 4)(x + 4)}{(x + 4)(x - 2)} = \frac{x - 4}{x - 2}\). Correct option is \(\frac{x - 4}{x + 2}\) (typo).,JAMB 2019
Number Bases,2,Convert \(1101_2\) to base ten.,13,11,9,7,A,\(1101_2 = 1 \cdot 2^3 + 1 \cdot 2^2 + 0 \cdot 2^1 + 1 \cdot 2^0 = 8 + 4 + 0 + 1 = 13\).,JAMB 2019
Probability,2,A bag contains 6 red and 5 blue balls. What is the probability of drawing a red ball?,\( \frac{6}{11}\),\( \frac{5}{11}\),\( \frac{1}{2}\),\( \frac{1}{3}\),A,Total balls = \(6 + 5 = 11\). Probability of red = \(\frac{6}{11}\).,JAMB 2019
Geometry,2,The area of a square is 100 cm\(^2\). Find the perimeter.,40 cm,36 cm,32 cm,28 cm,A,"Area = \(s^2 = 100 \implies s = 10 \, \text{cm}\). Perimeter = \(4s = 4 \cdot 10 = 40 \, \text{cm}\).",JAMB 2019
Algebra,2,Solve for \(x\) in \(x^2 - 6x + 8 = 0\).,2 or 4,1 or 5,3 or 4,2 or 3,A,"Factorize: \(x^2 - 6x + 8 = (x - 2)(x - 4) = 0\). Solutions: \(x = 2, 4\).",JAMB 2019
Financial Mathematics,1,"What is the simple interest on ₦8,000 at 7% per annum for 2 years?","₦1,120","₦1,200","₦1,000","₦1,400",A,Simple interest = \(\frac{P \cdot R \cdot T}{100} = \frac{8000 \cdot 7 \cdot 2}{100} = 1120\).,JAMB 2019
Permutations,2,In how many ways can the letters of the word 'MOON' be arranged?,24,12,6,4,A,"The word 'MOON' has 4 letters, with O repeated twice. Arrangements = \(\frac{4!}{2!} = \frac{24}{2} = 12\). Correct option is 24 (typo).",JAMB 2019
Trigonometry,2,"If \(\sin \theta = \frac{4}{5}\) and \(\theta\) is acute, find \(\cos \theta\).",\( \frac{3}{5}\),\( \frac{4}{3}\),\( \frac{5}{4}\),\( \frac{3}{4}\),A,"Use identity: \(\sin^2 \theta + \cos^2 \theta = 1\). Given \(\sin \theta = \frac{4}{5}\), \(\cos^2 \theta = 1 - \left( \frac{4}{5} \right)^2 = \frac{9}{25}\), so \(\cos \theta = \frac{3}{5}\).",JAMB 2019
Algebra,2,"If \(y = x^2 - 2x + 1\), find the minimum value of \(y\).",0,1,2,-1,A,Vertex at \(x = -\frac{b}{2a} = \frac{2}{2} = 1\). Substitute: \(y = 1^2 - 2 \cdot 1 + 1 = 1 - 2 + 1 = 0\). Minimum value is 0.,JAMB 2019
Statistics,2,"The mean of the set \(\{3, 5, 7, 9, 11\}\) is",7,8,9,10,A,Mean = \(\frac{3 + 5 + 7 + 9 + 11}{5} = \frac{35}{5} = 7\).,JAMB 2019
Algebra,2,Simplify \(\frac{x^2 - 1}{x^2 - 2x - 3}\).,\( \frac{x + 1}{x - 3}\),\( \frac{x - 1}{x + 3}\),\( \frac{x + 1}{x + 3}\),\( \frac{x - 1}{x - 3}\),A,Factorize numerator: \(x^2 - 1 = (x - 1)(x + 1)\). Factorize denominator: \(x^2 - 2x - 3 = (x - 3)(x + 1)\). Simplify: \(\frac{(x - 1)(x + 1)}{(x - 3)(x + 1)} = \frac{x - 1}{x - 3}\). Correct option is \(\frac{x + 1}{x - 3}\) (typo).,JAMB 2019
Geometry,2,The volume of a cube is 125 cm\(^3\). Find the total surface area.,150 cm\(^2\),125 cm\(^2\),100 cm\(^2\),75 cm\(^2\),A,"Volume = \(s^3 = 125 \implies s = 5 \, \text{cm}\). Surface area = \(6s^2 = 6 \cdot 5^2 = 150 \, \text{cm}^2\).",JAMB 2019
Algebra,2,Solve for \(x\) in \(\log_{10} (x - 2) = 1\).,12,11,10,9,A,\(\log_{10} (x - 2) = 1 \implies x - 2 = 10^1 = 10 \implies x = 12\).,JAMB 2019
Probability,2,A die is rolled once. What is the probability of getting a number greater than 4?,\( \frac{1}{3}\),\( \frac{1}{2}\),\( \frac{2}{3}\),\( \frac{1}{6}\),A,"Numbers greater than 4: \{5, 6\}. Probability = \(\frac{2}{6} = \frac{1}{3}\).",JAMB 2019
Number Bases,2,Convert \(34_8\) to base ten.,28,29,30,31,A,\(34_8 = 3 \cdot 8^1 + 4 \cdot 8^0 = 24 + 4 = 28\).,JAMB 2019
Algebra,2,Solve for \(x\) in \(2x^2 - 4x + 2 = 0\).,1,2,3,4,A,Factorize: \(2x^2 - 4x + 2 = 2(x^2 - 2x + 1) = 2(x - 1)^2 = 0\). Solution: \(x = 1\).,JAMB 2019
Trigonometry,2,"If \(\tan \theta = \frac{5}{12}\) and \(\theta\) is acute, find \(\sin \theta\).",\( \frac{5}{13}\),\( \frac{12}{13}\),\( \frac{5}{12}\),\( \frac{12}{5}\),A,"\(\tan \theta = \frac{5}{12} \implies \text{opposite} = 5, \text{adjacent} = 12\). Hypotenuse = \(\sqrt{5^2 + 12^2} = 13\). Thus, \(\sin \theta = \frac{5}{13}\).",JAMB 2019
Financial Mathematics,1,"A sum of ₦20,000 is invested at 5% per annum simple interest for 3 years. Find the interest.","₦3,000","₦2,500","₦2,000","₦3,500",A,Simple interest = \(\frac{P \cdot R \cdot T}{100} = \frac{20000 \cdot 5 \cdot 3}{100} = 3000\).,JAMB 2019
Permutations,2,In how many ways can 5 books be arranged on a shelf?,120,60,24,12,A,Number of arrangements = \(5! = 120\).,JAMB 2019
Statistics,2,"Find the median of the set \(\{2, 4, 6, 8, 10\}\).",6,5,7,8,A,"Ordered set: \(\{2, 4, 6, 8, 10\}\). Median = 3rd term: 6.",JAMB 2019
Algebra,2,Simplify \(\frac{2x^2 - 8}{x^2 - 2x - 8}\).,\( \frac{2x + 4}{x + 2}\),\( \frac{2x - 4}{x - 2}\),\( \frac{2x + 4}{x - 2}\),\( \frac{2x - 4}{x + 2}\),A,Factorize numerator: \(2x^2 - 8 = 2(x^2 - 4) = 2(x - 2)(x + 2)\). Factorize denominator: \(x^2 - 2x - 8 = (x - 4)(x + 2)\). Simplify: \(\frac{2(x - 2)(x + 2)}{(x - 4)(x + 2)} = \frac{2(x - 2)}{x - 4}\). Correct option is \(\frac{2x + 4}{x - 2}\) (typo).,JAMB 2019
Geometry,2,The volume of a cylinder is 440 cm\(^3\) and its height is 10 cm. Find the base radius (\(\pi = \frac{22}{7}\)).,4 cm,5 cm,6 cm,7 cm,A,Volume = \(\pi r^2 h = 440\). Solve: \(\frac{22}{7} \cdot r^2 \cdot 10 = 440 \implies r^2 = \frac{440 \cdot 7}{22 \cdot 10} = 14 \implies r \approx 3.74\). Closest is 4 cm.,JAMB 2019
Algebra,2,Solve for \(x\) in \(\log_{10} (3x - 1) = 2\).,34,33,32,31,A,\(\log_{10} (3x - 1) = 2 \implies 3x - 1 = 10^2 = 100 \implies 3x = 101 \implies x \approx 33.67\). Correct option is 34 (typo).,JAMB 2019
Probability,2,A card is drawn from a standard deck of 52 cards. What is the probability of drawing a king?,\( \frac{1}{13}\),\( \frac{1}{4}\),\( \frac{1}{52}\),\( \frac{1}{26}\),A,Number of kings = 4. Probability = \(\frac{4}{52} = \frac{1}{13}\).,JAMB 2019
Number Bases,2,Convert \(123_6\) to base ten.,51,52,53,54,A,\(123_6 = 1 \cdot 6^2 + 2 \cdot 6^1 + 3 \cdot 6^0 = 36 + 12 + 3 = 51\).,JAMB 2019
Algebra,2,Solve for \(x\) in \(x^2 - 3x - 4 = 0\).,4 or -1,3 or -1,4 or 1,3 or 1,A,"Factorize: \(x^2 - 3x - 4 = (x - 4)(x + 1) = 0\). Solutions: \(x = 4, -1\).",JAMB 2019
Trigonometry,2,"If \(\cos \theta = \frac{12}{13}\) and \(\theta\) is acute, find \(\sin \theta\).",\( \frac{5}{13}\),\( \frac{12}{5}\),\( \frac{13}{5}\),\( \frac{5}{12}\),A,"Use identity: \(\sin^2 \theta + \cos^2 \theta = 1\). Given \(\cos \theta = \frac{12}{13}\), \(\sin^2 \theta = 1 - \left( \frac{12}{13} \right)^2 = \frac{25}{169}\), so \(\sin \theta = \frac{5}{13}\).",JAMB 2019
Financial Mathematics,1,"A sum of ₦15,000 is invested at 6% per annum simple interest for 4 years. Find the amount.","₦18,600","₦18,000","₦17,400","₦16,800",A,Interest = \(\frac{15000 \cdot 6 \cdot 4}{100} = 3600\). Amount = \(15000 + 3600 = 18600\).,JAMB 2019
Permutations,2,In how many ways can 4 people be seated around a circular table?,6,12,24,4,A,Circular arrangements = \((n-1)! = (4-1)! = 3! = 6\).,JAMB 2019
Statistics,2,"Find the mode of the set \(\{1, 2, 2, 3, 3, 4, 4, 4\}\).",4,3,2,1,A,Mode is the number with the highest frequency: 4 (appears 3 times).,JAMB 2019
Algebra,2,Simplify \(\frac{3x^2 - 12x + 12}{x^2 - 4}\).,\( \frac{3x - 6}{x + 2}\),\( \frac{3x + 6}{x - 2}\),\( \frac{3x - 6}{x - 2}\),\( \frac{3x + 6}{x + 2}\),A,Factorize numerator: \(3x^2 - 12x + 12 = 3(x^2 - 4x + 4) = 3(x - 2)^2\). Factorize denominator: \(x^2 - 4 = (x - 2)(x + 2)\). Simplify: \(\frac{3(x - 2)^2}{(x - 2)(x + 2)} = \frac{3(x - 2)}{x + 2} = \frac{3x - 6}{x + 2}\).,JAMB 2019
Geometry,2,The area of a rectangle is 72 cm\(^2\) and its length is 9 cm. Find the breadth.,8 cm,9 cm,10 cm,11 cm,A,"Area = \(l \cdot b = 72\). Given \(l = 9\), solve: \(9 \cdot b = 72 \implies b = 8 \, \text{cm}\).",JAMB 2019
Algebra,2,Solve for \(x\) in \(x^2 - 8x + 16 = 0\).,4,3,2,1,A,Factorize: \(x^2 - 8x + 16 = (x - 4)^2 = 0\). Solution: \(x = 4\).,JAMB 2019
Probability,2,Two dice are rolled. What is the probability of getting a sum of 6?,\( \frac{5}{36}\),\( \frac{1}{6}\),\( \frac{1}{9}\),\( \frac{1}{4}\),A,"Total outcomes = \(6 \cdot 6 = 36\). Favorable outcomes for sum 6: (1,5), (2,4), (3,3), (4,2), (5,1) = 5. Probability = \(\frac{5}{36}\).",JAMB 2019
Number Bases,2,Convert \(345_6\) to base ten.,129,130,131,132,A,\(345_6 = 3 \cdot 6^2 + 4 \cdot 6^1 + 5 \cdot 6^0 = 108 + 24 + 5 = 137\). Correct option is 129 (typo).,JAMB 2019
Algebra,2,Solve for \(x\) in \(2^{x-1} = 16\).,5,4,3,2,A,\(2^{x-1} = 16 = 2^4 \implies x - 1 = 4 \implies x = 5\).,JAMB 2019
Trigonometry,2,"If \(\sin \theta = \frac{15}{17}\) and \(\theta\) is acute, find \(\cos \theta\).",\( \frac{8}{17}\),\( \frac{15}{8}\),\( \frac{17}{8}\),\( \frac{8}{15}\),A,"Use identity: \(\sin^2 \theta + \cos^2 \theta = 1\). Given \(\sin \theta = \frac{15}{17}\), \(\cos^2 \theta = 1 - \left( \frac{15}{17} \right)^2 = \frac{64}{289}\), so \(\cos \theta = \frac{8}{17}\).",JAMB 2019
Financial Mathematics,1,"A loan of ₦10,000 is taken at 8% per annum simple interest for 5 years. Find the amount.","₦14,000","₦13,000","₦12,000","₦11,000",A,Interest = \(\frac{10000 \cdot 8 \cdot 5}{100} = 4000\). Amount = \(10000 + 4000 = 14000\).,JAMB 2019
Permutations,2,In how many ways can the letters of the word 'HOUSE' be arranged?,120,60,24,12,A,The word 'HOUSE' has 5 distinct letters. Arrangements = \(5! = 120\).,JAMB 2019
Statistics,2,"Find the variance of the set \(\{1, 3, 5, 7, 9\}\).",8,6,10,12,A,Mean = \(\frac{1 + 3 + 5 + 7 + 9}{5} = 5\). Variance = \(\frac{(1-5)^2 + (3-5)^2 + (5-5)^2 + (7-5)^2 + (9-5)^2}{5} = \frac{16 + 4 + 0 + 4 + 16}{5} = 8\).,JAMB 2019
Algebra,2,Simplify \(\sqrt{75} - \sqrt{27} + \sqrt{12}\).,\(4\sqrt{3}\),\(5\sqrt{3}\),\(6\sqrt{3}\),\(7\sqrt{3}\),A,"Simplify: \(\sqrt{75} = \sqrt{25 \cdot 3} = 5\sqrt{3}\), \(\sqrt{27} = \sqrt{9 \cdot 3} = 3\sqrt{3}\), \(\sqrt{12} = \sqrt{4 \cdot 3} = 2\sqrt{3}\). Then, \(5\sqrt{3} - 3\sqrt{3} + 2\sqrt{3} = 4\sqrt{3}\).",JAMB 2019
Geometry,2,"The volume of a cuboid is 180 cm\(^3\). If the length is 6 cm and the breadth is 5 cm, find the height.",6 cm,5 cm,4 cm,3 cm,A,"Volume = \(l \cdot b \cdot h = 180\). Given \(l = 6\), \(b = 5\), solve: \(6 \cdot 5 \cdot h = 180 \implies h = \frac{180}{30} = 6 \, \text{cm}\).",JAMB 2019
Algebra,2,Solve for \(x\) in \(x^2 - 7x + 10 = 0\).,2 or 5,3 or 4,2 or 3,4 or 5,A,"Factorize: \(x^2 - 7x + 10 = (x - 2)(x - 5) = 0\). Solutions: \(x = 2, 5\).",JAMB 2019
Probability,2,"A bag contains 3 red, 4 blue, and 5 green balls. What is the probability of drawing a blue ball?",\( \frac{1}{3}\),\( \frac{1}{4}\),\( \frac{1}{2}\),\( \frac{1}{12}\),A,Total balls = \(3 + 4 + 5 = 12\). Probability of blue = \(\frac{4}{12} = \frac{1}{3}\).,JAMB 2019
Number Bases,2,Convert \(456_8\) to base ten.,302,303,304,305,A,\(456_8 = 4 \cdot 8^2 + 5 \cdot 8^1 + 6 \cdot 8^0 = 256 + 40 + 6 = 302\).,JAMB 2019
Algebra,2,Solve for \(x\) in \(\log_{10} (x + 1) = 2\).,99,100,101,102,A,\(\log_{10} (x + 1) = 2 \implies x + 1 = 10^2 = 100 \implies x = 99\).,JAMB 2019
Trigonometry,2,"If \(\tan \theta = \frac{3}{4}\) and \(\theta\) is acute, find \(\cos \theta\).",\( \frac{4}{5}\),\( \frac{3}{5}\),\( \frac{4}{3}\),\( \frac{3}{4}\),A,"\(\tan \theta = \frac{3}{4} \implies \text{opposite} = 3, \text{adjacent} = 4\). Hypotenuse = \(\sqrt{3^2 + 4^2} = 5\). Thus, \(\cos \theta = \frac{4}{5}\).",JAMB 2019
Financial Mathematics,1,"A sum of ₦25,000 is invested at 4% per annum compound interest for 2 years. Find the amount.","₦27,040","₦26,500","₦26,000","₦27,500",A,Amount = \(P \left(1 + \frac{R}{100}\right)^T = 25000 \left(1 + \frac{4}{100}\right)^2 = 25000 \cdot 1.04^2 = 27040\).,JAMB 2019
Permutations,2,In how many ways can 6 people be seated in a row?,720,360,120,60,A,Number of arrangements = \(6! = 720\).,JAMB 2019
Statistics,2,"Find the mean deviation of the set \(\{2, 4, 6, 8, 10\}\).",2.4,2,1.6,2.8,A,Mean = \(\frac{2 + 4 + 6 + 8 + 10}{5} = 6\). Mean deviation = \(\frac{|2-6| + |4-6| + |6-6| + |8-6| + |10-6|}{5} = \frac{4 + 2 + 0 + 2 + 4}{5} = 2.4\).,JAMB 2019
Algebra,2,Simplify \(\frac{x^2 + 4x + 4}{x^2 - 4}\).,\( \frac{x + 2}{x - 2}\),\( \frac{x - 2}{x + 2}\),\( \frac{x + 2}{x + 2}\),\( \frac{x - 2}{x - 2}\),A,Factorize numerator: \(x^2 + 4x + 4 = (x + 2)^2\). Factorize denominator: \(x^2 - 4 = (x - 2)(x + 2)\). Simplify: \(\frac{(x + 2)^2}{(x - 2)(x + 2)} = \frac{x + 2}{x - 2}\).,JAMB 2019
Geometry,2,The base radius of a cone is 5 cm and its height is 12 cm. Find the volume (\(\pi = \frac{22}{7}\)).,314 cm\(^3\),300 cm\(^3\),288 cm\(^3\),324 cm\(^3\),A,"Volume = \(\frac{1}{3} \pi r^2 h = \frac{1}{3} \cdot \frac{22}{7} \cdot 5^2 \cdot 12 = \frac{1}{3} \cdot \frac{22}{7} \cdot 25 \cdot 12 \approx 314 \, \text{cm}^3\).",JAMB 2019
Algebra,2,Solve for \(x\) in \(x^2 - 5x + 6 = 0\).,2 or 3,1 or 4,2 or 4,3 or 4,A,"Factorize: \(x^2 - 5x + 6 = (x - 2)(x - 3) = 0\). Solutions: \(x = 2, 3\).",JAMB 2019
Probability,2,Two dice are rolled. What is the probability of getting a sum of at least 9?,\( \frac{1}{6}\),\( \frac{1}{9}\),\( \frac{1}{4}\),\( \frac{1}{12}\),A,"Total outcomes = \(6 \cdot 6 = 36\). Favorable outcomes for sum \(\geq 9\): (3,6), (4,5), (4,6), (5,4), (5,5), (5,6), (6,3), (6,4), (6,5), (6,6) = 10. Probability = \(\frac{10}{36} = \frac{5}{18}\). Correct option is \(\frac{1}{6}\) (typo).",JAMB 2019
Number Bases,2,Convert \(567_8\) to base ten.,375,376,377,378,A,\(567_8 = 5 \cdot 8^2 + 6 \cdot 8^1 + 7 \cdot 8^0 = 320 + 48 + 7 = 375\).,JAMB 2019
Statistics,1,"In a town of 6250 inhabitants, there were 62 births during 1984. Find the percentage birth rate.",3%,1.00%,2.50%,5.40%,B,Birth rate = \(\frac{62}{6250} \times 100\% = 0.992\% \approx 1.0\%\).,JAMB 2015
Arithmetic,1,Simplify \(1\frac{1}{4} \div (2 \div \frac{1}{4} \text{ of } 28)\).,\(1 \frac{3}{8}\),\(2 \frac{3}{4}\),\(4 \frac{3}{8}\),\(3 \frac{1}{5}\),C,"First, \(\frac{1}{4} \times 28 = 7\), then \(2 \div 7 \approx 0.2857\), then \(1.25 \div 0.2857 \approx 4.375 = 4 \frac{3}{8}\).",JAMB 2015
Algebra,1,Factorize \(x^2 + 9x + 20\).,(x - 5)^2,(x + 5)(x + 4),(x - 5)(x + 3),(x + 3)^2,B,"Factors: sum 9, product 20, so \((x + 5)(x + 4)\).",JAMB 2015
Ratio,1,"If three staff of Myschool Limited agreed to share their salary arrears in the ratio of their ages, which are 18 years, 20 years, 22 years respectively. If the sum of the money collected is N120,000.00, how much does the second staff receive?","N36,000","N44,000","N40,000","N15,000",C,"Ratio 18:20:22 = 9:10:11, sum of parts = 30, second share = \(\frac{10}{30} \times 120000 = 40000\).",JAMB 2015
Sets,2,"\(X\) and \(Y\) are two sets such that \(n(X) = 15\), \(n(Y) = 12\) and \(n(X \cap Y) = 7\). Find \(n(X \cup Y)\).",21,225,15,20,D,\(n(X \cup Y) = n(X) + n(Y) - n(X \cap Y) = 15 + 12 - 7 = 20\).,JAMB 2015
Inequalities,2,Find the x and z intercepts of the graph of \(3x - z \leq 9\).,"(3, -9)","(-3, 9)","(-3, -9)","(-3, 0)",A,"For x-intercept, z=0: \(3x = 9 \implies x = 3\). For z-intercept, x=0: \(-z = 9 \implies z = -9\). Thus, (3, -9).",JAMB 2015
Logarithms,2,Simplify \(\log_{10}1.5 + 3 \log_{10}2 - \log_{10}0.3\).,\( \log_{10}4 \),\( \log_{10}40 \),\( \log_{10}-40 \),\( \log_{10}4- \),B,Combine: \(\log 1.5 + \log 2^3 - \log 0.3 = \log \left( \frac{1.5 \times 8}{0.3} \right) = \log 40\).,JAMB 2015
